Symbol,Date,Quantity,Price,c. price_unnamed: 4_level_1_c. price_c. price,Proceeds,Commission,Basis,realized p/l_unnamed: 8_level_1_realized p/l_realized p/l,mtm p/l_mtm in usd_mtm p/l_mtm p/l,code_code_code_code
VTWO,2025-09-08 12:18:05,5200.0,96.028365385,96.3700,-499347.5,-390.11,499737.61,0.00,1776.50,O
VTWO,2025-10-10 11:33:19,-5200.0,97.140857692,96.1300,505132.46,-390.98,-499737.61,5003.87,5256.46,C
VTWO,2025-11-17 08:15:34,1000.0,95.83,94.1000,-95830.0,-75.02,95905.02,0.00,-1730.00,O
VTWO,2025-11-18 14:16:43,528.0,94.615,94.3800,-49956.72,-39.61,49996.33,0.00,-124.08,O
VTWO,2025-11-24 10:24:10,518.0,96.29,96.9700,-49878.22,-38.86,49917.08,0.00,352.24,O
VWO,2025-11-25 09:33:59,5600.0,53.645428571,53.8500,-300414.4,-420.12,300834.52,0.00,1145.60,O
XLE,2025-12-02 09:08:57,3833.0,91.388351161,90.1400,-350291.55,-287.48,350579.02,0.00,-4784.93,O
XLE,2025-12-23 09:30:00,5650.0,44.31,44.5000,-250351.5,-423.75,250775.25,0.00,1073.50,O
XLF,2025-07-14 14:22:00,19044.0,52.52778996,52.5500,-1000339.23,-1428.81,1001768.05,0.00,422.97,IM;O;P
XLF,2025-08-22 08:53:11,-19044.0,52.88,53.5700,1007046.72,-1431.96,-1001768.05,3846.71,-13140.36,C
XLF,2025-10-28 09:58:47,14000.0,53.23,52.9900,-745220.0,-1050.31,746270.31,0.00,-3360.00,O
XLF,2025-11-03 13:27:16,-4620.0,52.04,52.1500,240424.8,-347.37,-246269.20,-6191.77,-508.20,C
XLF,2025-11-07 09:26:05,-2000.0,52.311185,52.7800,104622.37,-150.38,-106610.04,-2138.05,-937.63,C
USD.CAD,2025-04-09 09:22:23,24.0,1.41655,,-34.0,-10.0,,,-0.15,
USD.CAD,2025-04-30 14:39:55,38.0,1.379,,-52.4,-10.0,,,0.02,
USD.CAD,2025-05-02 22:30:19,0.9196,1.38195,,-1.27,0.0,,,0.00,
USD.CAD,2025-05-23 09:55:04,45.0,1.37785,,-62.0,-10.0,,,-0.15,SO
USD.CAD,2025-05-27 21:59:22,1.2355,1.38135,,-1.71,0.0,,,0.00,
USD.CAD,2025-11-19 09:03:29,1596.37,1.40195,,-2238.03,-10.0,,,3.41,
